mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_rolloff,zcr,rms,peak_frequency,mean,std,label,file
-462.90121135658677,226.9077811173173,-3.14151024680327,25.902221246418467,59.461344758711355,0.8363949019302875,0.8058343121865571,15.712854659677502,-10.880728286171044,-9.3157991496942,2.843914519881666,-11.224039195674665,-11.270179398832028,86.56846246186682,137.939453125,0.042561848958333336,0.016257746145129204,28.0,9.323563355999768e-06,0.01720652849254019,abnormal,a0001.wav
-450.59730027828846,220.0264825007189,6.213607907691311,25.84391653320625,54.63936823989541,1.1359278159985808,0.09022526569505247,14.306744270493887,-9.889077032881678,-8.292235327424576,3.316492518466024,-10.080338461136853,-10.311111379607532,84.35512984323432,119.140625,0.0396728515625,0.016276979818940163,28.0,-3.9248993363600315e-05,0.01724650845129557,abnormal,a0001.wav
-452.43310071719026,215.14532145326902,8.643663282418515,29.776902225178038,55.44904413531811,0.9326940570914717,0.486738066666123,14.44553556336639,-8.398826458944127,-5.898822113722861,3.34399503083529,-11.408528374661502,-10.780648106024524,81.70609061045282,118.81510416666667,0.038614908854166664,0.01767539419233799,29.0,-1.1399387922714947e-05,0.01842375478663209,abnormal,a0001.wav
-461.125255863891,217.2339145492961,6.196491179545703,33.5907675106692,60.67438285208663,2.4268053364548994,1.6860721416515247,14.96420164617176,-9.855802852635383,-5.9471939956018405,4.131749982695138,-13.070354243426983,-13.310380174451346,77.98677960163657,107.09635416666667,0.039632161458333336,0.017176399007439613,31.0,1.4256872226862134e-05,0.018355010443671133,abnormal,a0001.wav
-451.496438035155,211.71798018939208,7.840532179334503,29.935033332730807,57.05910889690855,2.35281438168515,0.7094053316931964,15.084818499756546,-7.400210880233824,-5.296728840581703,4.031896801450219,-11.658790079261943,-12.718286762563743,82.58598183687413,122.47721354166667,0.0362548828125,0.018444808200001717,26.333333333333332,1.0297870393035117e-05,0.019369926847555532,abnormal,a0001.wav
-448.41977841816646,216.43985814830845,8.568914753576546,30.144381724626097,56.938192110263884,1.252615042056459,-0.9088047049820062,13.92114948094259,-7.7424339069555606,-5.27930884760299,3.974210498760596,-11.572128667384595,-12.194791954335736,79.34293818740541,111.89778645833333,0.038859049479166664,0.018153216689825058,26.0,2.0504469057920477e-05,0.019389253581065483,abnormal,a0001.wav
-462.01945933087995,229.9189192578916,0.8753519486337985,29.429418469412727,59.92311319112201,-2.6287217853017175,-1.186582859019242,15.931924606023214,-10.391204299316108,-6.381617740375932,4.8324951153885705,-12.796212700527155,-12.28433382748918,82.02276999969183,121.01236979166667,0.037923177083333336,0.016986224800348282,26.333333333333332,-3.0538727849899754e-05,0.017806514452428365,abnormal,a0001.wav
-441.5576469223011,229.16234652682394,8.494313322132388,27.856382980745398,53.78786624458163,-3.2355012510235035,-2.5946393391014424,13.556380545956104,-10.87323849152498,-8.806949137220045,2.7639012621856853,-11.726022899120679,-12.390809943164266,84.54911586648551,125.0,0.039347330729166664,0.01864498294889927,29.0,-2.45076837995505e-05,0.020181199725560747,abnormal,a0001.wav
-446.65445172751487,234.01678191571486,4.694060076965765,26.935863740645118,53.802757587970454,-6.981436751792259,-4.339122771443754,13.732320755078838,-11.336989327761318,-6.911968684696333,5.841063547245393,-10.209043701779349,-10.819566611799901,85.13116335013669,125.16276041666667,0.045491536458333336,0.01811848022043705,31.333333333333332,2.7614112158920355e-05,0.019520868675455365,abnormal,a0001.wav
-456.6245700254054,216.7842813718183,1.1104715615063185,30.087874217143113,57.663477071446984,-2.786914454138437,-2.986269728982309,13.156970957157816,-10.174358340333047,-6.057114559864651,4.8754655269705465,-10.978337704585838,-11.364832780034156,87.67089980542188,126.953125,0.046915690104166664,0.014789697714149952,24.666666666666664,1.2053251563160785e-05,0.015546515433319735,abnormal,a0001.wav
